CODE 	STATION NAME 	Lat	Long	Alt	desamp	 anntr	diuramp	diurmax	seasamp	peakdiur	seasmax	monthmax	err	p
AT0002R                              	 Illmitz    	47.7666	16.7666	117	16.41378	0.00951	19.60346	42.60228	28.4935	15	44.07587	6	0.00821	0.24906
AT0005R 	Vorhegg  	46.6777	12.9722	1020	25.58931	0.02609	11.43794	43.08314	20.24384	16	45.90996	6	0.01046	0.014
AT0030R 	Pillersdorf bei Retz 	48.7211	15.9422	315	19.48905	0.02858	15.37416	40.72337	28.07781	15	44.38534	5	0.00875	0.00142
AT0032R 	 Sulzberg   	47.5291	9.9266	1020	31.23175	0.01192	5.98813	44.26079	22.45776	16	51.87985	6	0.01022	0.24578
AT0034G 	Sonnblick       	47.5444	12.9583	3106	16.11707	0.00343	1.48179	51.84105	15.69769	3	58.80146	5	0.00655	0.60184
AT0037R 	Zillertaler Alpen    	47.1369	11.87	1970	21.83907	0.00234	2.53576	48.10747	15.26545	2	54.84046	4	0.00777	0.76353
AT0038R 	 Gerlitzen     	46.6936	13.915	1895	17.17493	0.01006	2.18352	48.5539	17.88426	23	56.22705	6	0.00838	0.23218
AT0040R	Masenberg    	47.348	15.8822	1170	28.8452	0.01648	2.80409	44.21053	22.98152	15	53.10218	6	0.01081	0.13013
AT0041R 	Haunsberg  	47.973	13.161	730	26.5629	0.00387	9.52589	41.50865	26.66408	15	48.25926	6	0.00954	0.68604
AT0042R 	 Heidenreichstein 	48.8786	15.4666	570	16.53376	0.02951	18.2326	40.60769	23.6464	15	41.5574	5	0.00826	5.15E-04
AT0043R 	Forsthof     	48.1061	15.9194	581	30.22963	0.06166	9.32303	39.03738	28.18945	15	46.81871	6	0.01092	<0.0001
AT0044R 	Graz Platte    	47.113	15.4705	651	26.68614	0.01247	7.47939	41.15922	34.16692	16	52.0987	6	0.01244	0.31834
AT0045R 	 Dunkelsteinerwald 	48.3711	15.5466	320	20.82742	0.02969	17.75136	38.47769	25.10344	15	39.22394	5	0.0093	0.00181
AT0046R 	Gaenserndorf    	48.3347	16.7305	161	20.32769	0.04094	20.62784	39.92226	26.07258	15	39.9443	5	0.01006	<0.0001
AT0047R	Stixneusiedl    	48.5083	16.6766	240	18.43405	0.01441	17.50445	40.45429	27.30664	15	42.98942	5	0.00865	0.09847
BE0001R	Offagne  	49.8777	5.2036	430	32.0514	0.02922	14.66496	37.9097	18.89121	15	38.46547	6	0.0106	0.00675
BE0032R 	Eupen 	50.6294	6.027	295	25.31955	0.0125	14.32947	36.50799	18.08099	14	36.81075	6	0.01093	0.255
BE0035R 	 Vezin   	50.5033	4.9894	160	20.09241	0.00622	19.60365	34.28872	16.66848	15	30.80074	6	0.00909	0.49492
CH0001R	Jungfraujoch	46.56416	7.85166	3578	10.75674	0.00521	0.31876	38.63589	11.74313	22	44.12559	5	0.00449	0.24814
CH0002R	Payerne             	46.8166	6.95	510	24.01422	0.02805	25.63052	40.3037	26.26997	15	39.56782	6	0.00912	0.00262
CH0003R 	 T?nikon     	47.4833	8.9	540	24.68982	0.01721	20.85793	39.80311	27.15254	15	41.10082	6	0.00959	0.07538
CH0004R 	 Chaumont   	47.5111	6.9805	1130	29.76138	0.00643	4.96171	45.37033	21.80115	16	53.70455	6	0.01032	0.53422
CH0005R	 Rigi              	47.6944	8.4655	1030	26.69775	0.02086	6.81992	45.30721	23.58107	16	53.69897	6	0.0106	0.05145
CZ0001R 	Svratouch	49.7333	16.3333	737	27.4072	-0.00936	6.83441	39.86326	23.98772	14	45.44534	5	0.01085	0.39016
CZ0003R 	Ko?etice   	49.5833	15.8333	534	24.16022	0.00895	15.40138	41.16748	23.62209	14	43.16448	5	0.00851	0.29502
DE0001R 	 Westerland     	54.9255	8.3097	12	17.19655	0.02734	7.30142	37.73218	21.16782	16	43.78756	5	0.00932	0.00403
DE0002R	Langenbrügge     	52.8022	10.7594	74	20.1619	0.02697	17.77307	36.32045	23.99813	15	37.52772	5	0.00895	0.00315
DE0003R 	 Schauinsland 	47.9147	7.9086	1205	27.24874	0.01033	3.06464	44.88357	19.86678	16	53.00195	6	0.01054	0.32935
DE0007R	Neuglobsow 	53.1666	13.333	62	17.87111	0.01871	17.01901	35.81072	25.53844	15	38.89581	5	0.00955	0.0526
DE0009R	Zingst       	54.4333	12.7333	1	16.18054	0.01788	9.1743	34.67891	22.13466	15	40.04531	5	0.00793	0.02604
DK0031R 	Ulborg	56.2833	8.4333	10	16.14384	-5.64E-04	8.61555	35.13395	18.69235	15	40.24145	5	0.00899	0.95009
DK0041R	Lille Valby 	55.6869	12.1261	10	15.69787	0.04478	11.40246	32.66113	19.32312	13	35.81103	5	0.00786	<0.0001
EE0009R 	 Lahemaa 	59.5	25.9	32	16.13364	-0.00651	11.39614	33.44484	18.31815	15	38.48724	4	0.0071	0.36115
EE0011R 	Vilsandy   	58.3833	21.8166	6	19.25471	-0.04341	6.60697	36.65993	16.8425	16	40.84063	5	0.00812	<0.0001
